ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location
12592454,JF113025,1/14/2022 15:55,067XX S MORGAN ST,2826,OTHER OFFENSE,HARASSMENT BY ELECTRONIC MEANS,RESIDENCE,False,True,724,7,16.0,68,26,1170805.0,1860170.0,2022,9/14/2023 15:41,41.77178244,-87.64943693,"(41.771782439, -87.649436929)"
12785595,JF346553,8/5/2022 21:00,072XX S UNIVERSITY AVE,1544,SEX OFFENSE,SEXUAL EXPLOITATION OF A CHILD,APARTMENT,True,False,324,3,5.0,69,17,1185135.0,1857211.0,2022,9/14/2023 15:41,41.76333797,-87.59700113,"(41.763337967, -87.597001131)"
12808281,JF373517,8/14/2022 14:00,055XX W ARDMORE AVE,1562,SEX OFFENSE,AGGRAVATED CRIMINAL SEXUAL ABUSE,RESIDENCE,False,False,1621,16,39.0,11,17,1138383.0,1937953.0,2022,9/14/2023 15:41,41.98587528,-87.76640386,"(41.985875279, -87.766403857)"
12888104,JF469015,11/10/2022 3:47,072XX S MAY ST,1477,WEAPONS VIOLATION,RECKLESS FIREARM DISCHARGE,STREET,False,False,733,7,17.0,68,15,1169903.0,1856822.0,2022,9/14/2023 15:41,41.76261474,-87.65284046,"(41.76261474, -87.652840463)"
13209277,JG422539,8/15/2022 9:00,0000X W JACKSON BLVD,810,THEFT,OVER $500,COMMERCIAL / BUSINESS OFFICE,False,False,113,1,4.0,32,6,,,2022,9/14/2023 15:43,,,
12622465,JF149923,2/19/2022 10:36,010XX N FRANCISCO AVE,486,BATTERY,DOMESTIC BATTERY SIMPLE,HOSPITAL BUILDING / GROUNDS,True,True,1211,12,26.0,24,08B,1156861.0,1906972.0,2022,9/15/2023 15:41,41.90050559,-87.69928504,"(41.900505589, -87.699285044)"
12640859,JF172230,3/13/2022 5:15,012XX W PRATT BLVD,486,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,True,True,2431,24,49.0,1,08B,1166646.0,1945317.0,2022,9/15/2023 15:41,42.00552183,-87.66224145,"(42.00552183, -87.662241448)"
12667337,JF203985,4/10/2022 21:38,011XX N CHERRY AVE,4387,OTHER OFFENSE,VIOLATE ORDER OF PROTECTION,WAREHOUSE,True,True,1822,18,27.0,8,26,1169620.0,1907431.0,2022,9/15/2023 15:41,41.90149679,-87.65240739,"(41.901496787, -87.652407386)"
12671049,JF208259,4/14/2022 22:10,003XX E OHIO ST,486,BATTERY,DOMESTIC BATTERY SIMPLE,VEHICLE - COMMERCIAL,True,True,1834,18,2.0,8,08B,1178915.0,1904276.0,2022,9/15/2023 15:41,41.8926318,-87.61836282,"(41.892631803, -87.618362824)"
12678035,JF216671,4/22/2022 23:30,044XX N BROADWAY,810,THEFT,OVER $500,APARTMENT,True,True,1914,19,46.0,3,6,1168614.0,1929562.0,2022,9/15/2023 15:41,41.96224718,-87.6554598,"(41.962247182, -87.6554598)"
12735680,JF286563,6/20/2022 0:50,085XX S PEORIA ST,041A,BATTERY,AGGRAVATED - HANDGUN,SCHOOL - PUBLIC GROUNDS,False,False,613,6,17.0,71,04B,1171804.0,1848175.0,2022,9/15/2023 15:41,41.73884477,-87.64612615,"(41.738844769, -87.646126146)"
12792322,JF354686,8/12/2022 1:00,062XX S KILDARE AVE,263,CRIMINAL SEXUAL ASSAULT,AGGRAVATED - KNIFE / CUTTING INSTRUMENT,RESIDENCE,True,True,813,8,13.0,65,2,1148777.0,1862896.0,2022,9/15/2023 15:41,41.77971533,-87.7301152,"(41.779715327, -87.730115202)"
12829768,JF398130,9/16/2022 7:00,030XX N WHIPPLE ST,320,ROBBERY,STRONG ARM - NO WEAPON,APARTMENT,False,False,1411,14,35.0,21,3,1155521.0,1919887.0,2022,9/15/2023 15:41,41.93597248,-87.70385876,"(41.935972475, -87.703858758)"
12876410,JF454959,10/30/2022 5:30,0000X E JACKSON BLVD,326,ROBBERY,AGGRAVATED VEHICULAR HIJACKING,STREET,False,False,113,1,34.0,32,3,1176571.0,1899006.0,2022,9/15/2023 15:41,41.87822391,-87.62713057,"(41.878223912, -87.627130568)"
12885646,JF465749,11/5/2022 12:49,044XX W RICE ST,620,BURGLARY,UNLAWFUL ENTRY,WAREHOUSE,True,False,1111,11,37.0,23,5,1146532.0,1905297.0,2022,9/15/2023 15:41,41.89611242,-87.73726704,"(41.896112422, -87.737267038)"
12893219,JF474959,11/14/2022 17:00,012XX S INDEPENDENCE BLVD,325,ROBBERY,VEHICULAR HIJACKING,STREET,True,False,1011,10,24.0,29,3,1151289.0,1894080.0,2022,9/15/2023 15:41,41.86523975,-87.72008978,"(41.865239745, -87.720089778)"
13210651,JG424030,12/29/2022 17:00,026XX W 19TH ST,1563,SEX OFFENSE,CRIMINAL SEXUAL ABUSE,OTHER (SPECIFY),False,False,1023,10,25.0,30,17,1159021.0,1890619.0,2022,11/15/2023 15:41,41.85558733,-87.69180021,"(41.855587334, -87.691800214)"
13211226,JF308371,6/7/2022 7:00,002XX S ASHLAND AVE,5000,OTHER OFFENSE,OTHER CRIME AGAINST PERSON,GOVERNMENT BUILDING / PROPERTY,False,False,1231,12,34.0,28,26,,,2022,9/15/2023 15:42,,,
12928785,JF517668,12/20/2022 16:30,076XX S MAPLEWOOD AVE,1020,ARSON,BY FIRE,RESIDENCE - GARAGE,True,False,835,8,18.0,70,9,1160707.0,1853794.0,2022,8/23/2023 15:40,41.75450015,-87.68662881,"(41.754500145, -87.686628806)"
12713141,JF259485,5/29/2022 0:00,014XX S MUSEUM CAMPUS DR,870,THEFT,POCKET-PICKING,SPORTS ARENA / STADIUM,False,False,132,1,4.0,33,6,,,2022,6/5/2022 15:40,,,
12600224,JF122258,1/24/2022 4:10,019XX S WABASH AVE,486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,True,True,131,1,3.0,33,08B,1177062.0,1890950.0,2022,9/16/2023 15:41,41.85610665,-87.62557162,"(41.856106646, -87.625571623)"
12602374,JF125017,1/26/2022 17:45,069XX N CLARK ST,486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,True,True,2424,24,49.0,1,08B,1163566.0,1945922.0,2022,9/16/2023 15:41,42.00724765,-87.67355584,"(42.007247653, -87.673555844)"
12605225,JF128458,1/30/2022 5:30,007XX W COUCH PL,486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,True,True,1224,12,27.0,28,08B,1171188.0,1901470.0,2022,9/16/2023 15:41,41.88510514,-87.64682318,"(41.885105137, -87.646823184)"
